0,-120475,-106331,-97408,-87968,-78373,-71339,-64690,-57928,-51935,-46339,-42794,-39108,-35020,-32810,-29447,-27499,-24690,-22934,-21241,-19161,-17848,-15977,-14583,-13279,-12202,-10526,-8761,-7482,-6505,-5329,-4049,-3367,-2552,12880,13949,15356,17068,18201,19715,20607,21656,22746,23546,24087,24492,25058,25562,26231,26797,26925,27404,27441,28141,28178,28178,28178,28365,28493,28493,28493,28493,28493,28493,28493,28493,28493,28493,28611,28611,28611,28611,28611,28611,28611,28611,28611,28611,28611,28611,28611,28611,28611,28611,28611,28611,28611,28611,28611,28611,28611,28611,28611,28611,28611,28611,28611,28611,28611,28611,28611
1,-115227,-100632,-93085,-82973,-76012,-69265,-61781,-55899,-50255,-45057,-42925,-38993,-37005,-33951,-31995,-30145,-27661,-24823,-22267,-20366,-18444,-17202,-15610,-14065,-12830,-11292,-10663,-9757,-9006,-7969,-6797,-5931,-5337,-4842,-4246,-3580,-2993,15650,16420,17029,18275,19368,21096,22334,22862,23686,24017,24143,24589,24589,24873,25415,26048,26763,27655,27867,27867,28098,28226,28351,28351,28351,28351,28351,28351,28351,28351,28351,28351,28351,28351,28351,28351,28351,28351,28351,28351,28351,28351,28351,28351,28351,28351,28351,28351,28351,28351,28351,28351,28384,28512,28512,28512,28512,28512,28512,28512,28539,28539,28539
2,-117329,-108363,-96924,-81935,-75908,-68385,-62215,-53436,-47769,-43986,-40866,-37730,-34908,-31073,-28892,-27165,-25704,-23812,-21889,-19852,-17874,-15800,-14053,-12956,-11669,-10767,-9879,-8410,-7679,-6704,-5945,-4792,-4143,-3566,-2953,13726,14637,15496,17200,18390,20055,21368,22775,23865,24918,25463,26084,26437,26719,26821,26821,27104,27104,27360,27651,27766,27766,27766,27766,27766,27766,27766,27766,27766,27766,27766,27986,27986,27986,27986,28241,28241,28241,28241,28241,28241,28310,28310,28310,28310,28310,28310,28310,28310,28310,28310,28310,28310,28310,28310,28310,28310,28310,28310,28310,28310,28310,28310,28310,28310
3,-113935,-103303,-93846,-83529,-73260,-67851,-58744,-52649,-46562,-42701,-37609,-34008,-30992,-27822,-24261,-23092,-21194,-19161,-17583,-15639,-13619,-12381,-11474,-10646,-9361,-8184,-6719,-6164,-5557,-4786,-4377,-3926,-3248,-2687,16703,17716,19537,21260,22212,22594,23365,24170,25277,25866,26209,26261,26778,26933,26933,26933,26933,26933,26933,27552,27552,27552,27552,27552,27552,27552,27552,27552,27869,27869,27869,27869,27869,27869,27869,27869,27869,27869,27869,27869,27869,27869,27869,27869,27869,27869,27869,27869,27869,27869,27869,28023,28023,28023,28023,28023,28023,28023,28023,28023,28023,28023,28175,28175,28175,28175
4,-120611,-106315,-95754,-84801,-76229,-68725,-64092,-58799,-53570,-48501,-44496,-42176,-40307,-36741,-33576,-31460,-29733,-27871,-25520,-22109,-20912,-19331,-17936,-16119,-14447,-12845,-12066,-10760,-9416,-8427,-7575,-7107,-6493,-5483,-4987,-4237,-3389,-2914,-2573,16833,18132,19532,21322,22968,23738,24997,25957,26621,26950,27137,27858,28053,28053,28053,28053,28053,28053,28171,28171,28171,28171,28199,28199,28199,28199,28199,28199,28199,28567,28567,28567,28567,28567,28567,28567,28567,28567,28567,28567,28567,28567,28567,28567,28567,28567,28679,28679,28679,28679,28679,28679,28679,28679,28679,28679,28746,28746,28746,28746,28746
5,-109103,-101365,-93598,-84578,-77852,-70620,-65050,-60065,-55756,-52665,-48050,-45650,-40888,-37688,-34724,-31620,-29826,-27603,-25399,-23201,-20924,-18669,-17183,-15944,-14319,-13128,-11655,-10649,-9731,-8975,-7795,-7073,-6346,-5688,-4683,-4118,-3539,-2880,-2557,16332,17263,18652,20018,20938,22315,23336,23670,24606,25406,25948,26160,26286,26568,26859,26885,26885,27366,27532,27532,27532,27532,27532,27543,27696,27861,27861,28050,28152,28152,28152,28152,28152,28152,28152,28152,28152,28152,28181,28181,28181,28181,28181,28181,28181,28181,28181,28181,28181,28181,28181,28181,28239,28239,28352,28352,28352,28352,28352,28352,28352
6,-114694,-105514,-97675,-90497,-81313,-72739,-66470,-61283,-57032,-53517,-49928,-47250,-44567,-41932,-38908,-35619,-32513,-29317,-26643,-24445,-22142,-20484,-18757,-17057,-15203,-13488,-12013,-10568,-9712,-8690,-7729,-6479,-5610,-5006,-4432,-3806,-3181,-2670,18460,19557,20511,21304,22258,22871,23595,24103,24995,25816,26364,26751,26823,26949,27051,27462,27462,27658,27658,27658,27658,27658,27805,27805,28249,28375,28375,28375,28375,28375,28375,28375,28375,28375,28375,28375,28375,28375,28375,28375,28375,28582,28582,28582,28582,28582,28582,28582,28582,28582,28582,28582,28582,28582,28582,28582,28582,28582,28582,28582,28582,28582
7,-119248,-108130,-98045,-90995,-82035,-76949,-70879,-65273,-58704,-54201,-49959,-46379,-42309,-38392,-35218,-32013,-30205,-28396,-25744,-23867,-21569,-20269,-18364,-16422,-15231,-13778,-12437,-11213,-10196,-9210,-7762,-6561,-5706,-5181,-4510,-3959,-3378,-2790,15483,16437,17389,18159,19531,20784,21227,22251,23582,24070,24545,25080,26013,26208,26416,26932,27012,27012,27012,27066,27192,27523,27523,27523,27523,27677,27803,27805,27805,27805,27805,27984,27984,27984,28046,28051,28051,28051,28051,28051,28281,28281,28281,28281,28281,28383,28383,28509,28509,28509,28509,28509,28509,28509,28509,28509,28509,28509,28509,28509,28509,28509
8,-114044,-102343,-94711,-86812,-77761,-72060,-65076,-59490,-55101,-51424,-47828,-44595,-41459,-38766,-35027,-32479,-30409,-27618,-24587,-22930,-21229,-19347,-16167,-14710,-13567,-11180,-10138,-8934,-7684,-6256,-5040,-4516,-3956,-3324,-2718,11172,12437,14267,15593,17205,18020,19883,20988,21747,23069,23977,24655,25117,26154,26620,27173,27368,27368,27494,27596,27596,27596,27596,27706,27706,27706,27706,27707,27819,28108,28220,28220,28220,28220,28220,28220,28220,28220,28220,28220,28220,28220,28220,28220,28220,28220,28220,28220,28220,28220,28220,28220,28220,28220,28220,28220,28220,28220,28220,28220,28220,28220,28220,28220,28220
9,-115822,-104803,-95500,-87021,-78857,-70520,-65007,-58704,-53055,-46609,-42751,-39018,-35356,-32886,-29824,-26844,-24284,-22022,-20177,-18125,-16415,-15075,-13587,-11853,-10251,-9046,-8334,-7408,-6566,-5470,-4772,-3916,-3227,-2932,13924,15642,17234,18371,20141,21145,22284,23215,23814,24703,25077,25718,26193,26534,26729,26729,26795,26815,26881,27162,27546,27672,27672,27745,28251,28251,28251,28278,28278,28278,28278,28278,28278,28278,28278,28278,28278,28278,28278,28278,28278,28278,28278,28278,28307,28307,28307,28307,28307,28307,28307,28307,28307,28307,28307,28307,28307,28307,28307,28307,28307,28307,28307,28307,28307,28307
